Company Name,Industry,Symbol,weightage,ISIN Code
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,3,INE423A01024
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,3,INE742F01042
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,4,INE437A01024
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,3,INE021A01026
Axis Bank Ltd.,Financial Services,AXISBANK,3,INE238A01034
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,3,INE917I01010
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,3,INE296A01032
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,4,INE918I01026
Bharat Electronics Ltd.,Capital Goods,BEL,4,INE263A01024
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,3,INE397D01024
Cipla Ltd.,Healthcare,CIPLA,9,INE059A01026
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,3,INE522F01014
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,4,INE089A01031
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,2,INE066A01021
Eternal Ltd.,Consumer Services,ETERNAL,7,INE758T01015
Grasim Industries Ltd.,Construction Materials,GRASIM,7,INE047A01021
HCL Technologies Ltd.,Information Technology,HCLTECH,2,INE860A01027
HDFC Bank Ltd.,Financial Services,HDFCBANK,1,INE040A01034
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,1,INE795G01014
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,1,INE038A01020
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,1,INE030A01027
ICICI Bank Ltd.,Financial Services,ICICIBANK,1,INE090A01021
ITC Ltd.,Fast Moving Consumer Goods,ITC,3,INE154A01025
Infosys Ltd.,Information Technology,INFY,3,INE009A01021
InterGlobe Aviation Ltd.,Services,INDIGO,3,INE646L01027
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,3,INE019A01038
Jio Financial Services Ltd.,Financial Services,JIOFIN,3,INE758E01017
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,3,INE237A01036
Larsen & Toubro Ltd.,Construction,LT,6,INE018A01030
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,6,INE101A01026
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,6,INE585B01010
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,6,INE027H01010
NTPC Ltd.,Power,NTPC,6,INE733E01010
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,3,INE239A01024
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,3,INE213A01029
Power Grid Corporation of India Ltd.,Power,POWERGRID,3,INE752E01010
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,3,INE002A01018
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,3,INE123W01016
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,6,INE721A01047
State Bank of India,Financial Services,SBIN,6,INE062A01020
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,6,INE044A01036
Tata Consultancy Services Ltd.,Information Technology,TCS,6,INE467B01029
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,1,INE192A01025
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV,1,INE155A01022
Tata Steel Ltd.,Metals & Mining,TATASTEEL,1,INE081A01020
Tech Mahindra Ltd.,Information Technology,TECHM,1,INE669C01036
Titan Company Ltd.,Consumer Durables,TITAN,1,INE280A01028
Trent Ltd.,Consumer Services,TRENT,1,INE849A01020
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,1,INE481G01011
Wipro Ltd.,Information Technology,WIPRO,1,INE075A01022
